id,inicio,fim,categoria,arquivo,algoritmo
5584,16,16,29,input-10k-30.txt,aleatoriedade
1087,17,17,15,input-10k-30.txt,aleatoriedade
2217,18,18,22,input-10k-30.txt,aleatoriedade
3167,19,19,2,input-10k-30.txt,aleatoriedade
8703,20,20,23,input-10k-30.txt,aleatoriedade
518,21,21,14,input-10k-30.txt,aleatoriedade
6780,22,22,4,input-10k-30.txt,aleatoriedade
4475,23,24,12,input-10k-30.txt,aleatoriedade
6887,0,1,26,input-10k-50.txt,aleatoriedade
3693,1,2,23,input-10k-50.txt,aleatoriedade
3140,2,3,31,input-10k-50.txt,aleatoriedade
8078,3,4,31,input-10k-50.txt,aleatoriedade
4087,4,5,17,input-10k-50.txt,aleatoriedade
2549,5,6,31,input-10k-50.txt,aleatoriedade
2203,6,7,40,input-10k-50.txt,aleatoriedade
6799,7,8,13,input-10k-50.txt,aleatoriedade
6090,8,9,4,input-10k-50.txt,aleatoriedade
8438,9,10,2,input-10k-50.txt,aleatoriedade
2458,10,11,6,input-10k-50.txt,aleatoriedade
9620,11,12,16,input-10k-50.txt,aleatoriedade
4176,13,13,7,input-10k-50.txt,aleatoriedade
788,14,14,13,input-10k-50.txt,aleatoriedade
6637,15,15,11,input-10k-50.txt,aleatoriedade
9089,16,17,26,input-10k-50.txt,aleatoriedade
8971,18,18,6,input-10k-50.txt,aleatoriedade
1231,19,19,27,input-10k-50.txt,aleatoriedade
5493,20,21,20,input-10k-50.txt,aleatoriedade
7807,22,22,49,input-10k-50.txt,aleatoriedade
4522,23,23,11,input-10k-50.txt,aleatoriedade
3260,0,1,31,input-10k-75.txt,aleatoriedade
2467,2,2,6,input-10k-75.txt,aleatoriedade
8002,3,3,43,input-10k-75.txt,aleatoriedade
5212,4,5,47,input-10k-75.txt,aleatoriedade
6531,5,6,53,input-10k-75.txt,aleatoriedade
3652,6,7,64,input-10k-75.txt,aleatoriedade
4475,8,8,71,input-10k-75.txt,aleatoriedade
6018,9,9,4,input-10k-75.txt,aleatoriedade
9946,10,10,3,input-10k-75.txt,aleatoriedade
9999,11,11,40,input-10k-75.txt,aleatoriedade
1120,12,12,1,input-10k-75.txt,aleatoriedade
7522,13,13,64,input-10k-75.txt,aleatoriedade
2737,14,14,39,input-10k-75.txt,aleatoriedade
4846,15,15,7,input-10k-75.txt,aleatoriedade
2680,16,16,28,input-10k-75.txt,aleatoriedade
9883,17,17,31,input-10k-75.txt,aleatoriedade
8134,18,19,73,input-10k-75.txt,aleatoriedade
3766,19,20,24,input-10k-75.txt,aleatoriedade
9945,20,21,66,input-10k-75.txt,aleatoriedade
9391,21,22,69,input-10k-75.txt,aleatoriedade
1992,22,23,46,input-10k-75.txt,aleatoriedade
5835,23,24,63,input-10k-75.txt,aleatoriedade
1892,1,1,63,input-10k-100.txt,aleatoriedade
8145,2,2,83,input-10k-100.txt,aleatoriedade
3237,3,3,76,input-10k-100.txt,aleatoriedade
3103,4,4,28,input-10k-100.txt,aleatoriedade
7586,5,5,38,input-10k-100.txt,aleatoriedade
3408,6,6,84,input-10k-100.txt,aleatoriedade
938,7,8,24,input-10k-100.txt,aleatoriedade
2372,8,9,94,input-10k-100.txt,aleatoriedade
9546,9,10,37,input-10k-100.txt,aleatoriedade
728,10,11,62,input-10k-100.txt,aleatoriedade
9900,11,12,44,input-10k-100.txt,aleatoriedade
4771,13,13,67,input-10k-100.txt,aleatoriedade
7104,14,15,43,input-10k-100.txt,aleatoriedade
4101,15,16,25,input-10k-100.txt,aleatoriedade
1246,16,17,99,input-10k-100.txt,aleatoriedade
8071,17,18,84,input-10k-100.txt,aleatoriedade
535,18,19,23,input-10k-100.txt,aleatoriedade
8282,19,20,71,input-10k-100.txt,aleatoriedade
1339,20,21,5,input-10k-100.txt,aleatoriedade
7699,21,22,48,input-10k-100.txt,aleatoriedade
464,22,23,94,input-10k-100.txt,aleatoriedade
2644,23,24,11,input-10k-100.txt,aleatoriedade
